@relation flags_ml-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-19

@attribute landmass=1 numeric
@attribute landmass=2 numeric
@attribute landmass=3 numeric
@attribute landmass=4 numeric
@attribute landmass=5 numeric
@attribute landmass=6 numeric
@attribute zone=1 numeric
@attribute zone=2 numeric
@attribute zone=3 numeric
@attribute zone=4 numeric
@attribute area numeric
@attribute population numeric
@attribute language=1 numeric
@attribute language=2 numeric
@attribute language=3 numeric
@attribute language=4 numeric
@attribute language=5 numeric
@attribute language=6 numeric
@attribute language=7 numeric
@attribute language=8 numeric
@attribute language=9 numeric
@attribute language=10 numeric
@attribute religion=0 numeric
@attribute religion=1 numeric
@attribute religion=2 numeric
@attribute religion=3 numeric
@attribute religion=4 numeric
@attribute religion=5 numeric
@attribute religion=6 numeric
@attribute religion=7 numeric
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent=1 numeric
@attribute triangle=1 numeric
@attribute icon=1 numeric
@attribute animate=1 numeric
@attribute text=1 numeric
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
0,0,0,0,1,0,1,0,0,0,648,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
0,0,1,0,0,0,1,0,0,0,29,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,0,0,1,0,0,1,0,0,0,2388,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,0,0,1247,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0
0,1,0,0,0,0,0,0,1,0,2777,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,1,0,2777,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
